UniProtKB:Q8WV22	NSMCE1
UniProtKB:Q99708	RBBP8
UniProtKB:Q8WV07	ORAOV1
UniProtKB:Q8IX21	SLF2
UniProtKB:P51587	BRCA2
UniProtKB:Q92630	DYRK2
UniProtKB:P16104	H2AFX
UniProtKB:Q86X55	CARM1
UniProtKB:P51530	DNA2
UniProtKB:Q8TD08	MAPK15
UniProtKB:Q5H9I0	TFDP3
UniProtKB:Q15054	POLD3
UniProtKB:Q15014	MORF4L2
UniProtKB:Q15004	PCLAF
UniProtKB:P0CG47	UBB
UniProtKB:O00167	EYA2
UniProtKB:P41226	UBA7
UniProtKB:Q9HC62	SENP2
UniProtKB:O00141	SGK1
UniProtKB:P41208	CETN2
UniProtKB:Q6PML9	SLC30A9
UniProtKB:P58004	SESN2
UniProtKB:Q8TAF3	WDR48
UniProtKB:Q03468	ERCC6
UniProtKB:Q86UE8	TLK2
UniProtKB:Q6NUQ1	RINT1
UniProtKB:Q86UA6	RPAIN
UniProtKB:Q9HA38	ZMAT3
UniProtKB:P24941	CDK2
UniProtKB:P18858	LIG1
UniProtKB:Q13686	ALKBH1
UniProtKB:P24928	POLR2A
UniProtKB:Q13670	PMS2P11
UniProtKB:Q08999	RBL2
UniProtKB:Q13627	DYRK1A
UniProtKB:Q13620	CUL4B
UniProtKB:Q13619	CUL4A
UniProtKB:Q9BYW2	SETD2
UniProtKB:Q2NKJ3	CTC1
UniProtKB:Q86U44	METTL3
UniProtKB:Q9BYT3	STK33
UniProtKB:P46527	CDKN1B
UniProtKB:P30307	CDC25C
UniProtKB:Q9NPD8	UBE2T
UniProtKB:P05161	ISG15
UniProtKB:Q7LG56	RRM2B
UniProtKB:O60673	REV3L
UniProtKB:P05129	PRKCG
UniProtKB:P05114	HMGN1
UniProtKB:Q93009	USP7
UniProtKB:P54725	RAD23A
UniProtKB:P82673	MRPS35
UniProtKB:P19387	POLR2C
UniProtKB:P15336	ATF2
UniProtKB:P50750	CDK9
UniProtKB:Q9UNA4	POLI
UniProtKB:O95072	REC8
UniProtKB:O95071	UBR5
UniProtKB:Q14258	TRIM25
UniProtKB:Q9UNL4	ING4
UniProtKB:P46695	IER3
UniProtKB:Q13535	ATR
UniProtKB:Q7Z6E9	RBBP6
UniProtKB:Q13573	SNW1
UniProtKB:A6NF83	NUPR2
UniProtKB:O94762	RECQL5
